,State,District,use right,c11_dist_name,c11_state_name,note
133,Odisha,Jajpur,,,,
134,Punjab,Fazilka,,,,
135,Punjab,Ferozepur,,,,
136,Punjab,Pathankot,,,,
137,Punjab,S.A.S. Nagar,,,,
138,Punjab,Sri Muktsar Sahib,,,,
139,Rajasthan,BSF Camp,,,,
140,Rajasthan,Chittorgarh,,,,
141,Rajasthan,Dholpur,,,,
142,Rajasthan,Evacuees,,,,
143,Rajasthan,Italians,,,,
144,Rajasthan,Jalore,,,,
145,Rajasthan,Jhunjhunu,,,,
146,Rajasthan,Other State,,,,
147,Rajasthan,Pratapgarh,,,,
148,Telangana,Foreign Evacuees,,,,
149,Telangana,Other State,,,,
150,Telangana,Bhadradri Kothagudem,,,,
151,Telangana,Jagtial,,,,
152,Telangana,Jangaon,,,,
153,Telangana,Jayashankar Bhupalapally,,,,
154,Telangana,Jogulamba Gadwal,,,,
155,Telangana,Kamareddy,,,,
156,Telangana,Komaram Bheem,,,,
157,Telangana,Mahabubabad,,,,
158,Telangana,Mahabubnagar,,Mahbubnagar,Andhra?Pradesh,<
159,Telangana,Mancherial,,,,
160,Telangana,Medchal Malkajgiri,,,,
161,Telangana,Mulugu,,,,
162,Telangana,Nagarkurnool,,,,
163,Telangana,Narayanpet,,,,
164,Telangana,Nirmal,,,,
165,Telangana,Peddapalli,,,,
166,Telangana,Rajanna Sircilla,,,,
167,Telangana,Ranga Reddy,,Rangareddy,Andhra?Pradesh,<
168,Telangana,Sangareddy,,,,
169,Telangana,Siddipet,,,,
170,Telangana,Suryapet,,,,
171,Telangana,Vikarabad,,,,
172,Telangana,Wanaparthy,,,,
173,Telangana,Warangal Rural,,Warangal,Andhra?Pradesh,**
174,Telangana,Warangal Urban,,,,
175,Telangana,Yadadri Bhuvanagiri,,,,
176,Tamil Nadu,Railway Quarantine,,,,
177,Tamil Nadu,Airport Quarantine,,,,
178,Tamil Nadu,Other State,,,,
179,Tamil Nadu,Chengalpattu,,,,
180,Tamil Nadu,Kallakurichi,,,,
181,Tamil Nadu,Kanyakumari,,,,
182,Tamil Nadu,Nilgiris,,,,
183,Tamil Nadu,Ranipet,,,,
184,Tamil Nadu,Tenkasi,,,,
185,Tamil Nadu,Tirupathur,,,,
186,Tripura,Gomati,,,,
187,Tripura,Khowai,,,,
188,Tripura,Sipahijala,,,,
189,Tripura,Unokoti,,,,
190,Uttar Pradesh,Amethi,,,,
191,Uttar Pradesh,Amroha,,,,
192,Uttar Pradesh,Ayodhya,,,,
193,Uttar Pradesh,Barabanki,,,,
194,Uttar Pradesh,Bhadohi,,,,
195,Uttar Pradesh,Hamirpur,,,,
196,Uttar Pradesh,Hapur,,,,
197,Uttar Pradesh,Hathras,,,,
198,Uttar Pradesh,Kasganj,,,,
199,Uttar Pradesh,Lakhimpur Kheri,,,,
200,Uttar Pradesh,Maharajganj,,,,
201,Uttar Pradesh,Pratapgarh,,,,
202,Uttar Pradesh,Prayagraj,,,,
203,Uttar Pradesh,Sambhal,,,,
204,Uttar Pradesh,Shamli,,,,
205,Uttarakhand,Haridwar,,,,
206,West Bengal,Alipurduar,,,,
207,West Bengal,Cooch Behar,,,,
208,West Bengal,Darjeeling,,,,
209,West Bengal,Hooghly,,,,
210,West Bengal,Howrah,,,,
211,West Bengal,Jhargram,,,,
212,West Bengal,Kalimpong,,,,
213,West Bengal,Malda,,,,
214,West Bengal,North 24 Parganas,,,,
215,West Bengal,Other State,,,,
216,West Bengal,Paschim Bardhaman,,,,
217,West Bengal,Purba Bardhaman,,,,
218,West Bengal,Purulia,,,,
219,West Bengal,South 24 Parganas,,,,
220,Andaman and Nicobar Islands,Unknown,,,,
221,Andhra Pradesh,Unknown,,,,
222,Arunachal Pradesh,Unknown,,,,
223,Assam,Unknown,,,,
224,Bihar,Unknown,,,,
225,Chandigarh,Unknown,,,,
226,Chhattisgarh,Unknown,,,,
227,Dadra and Nagar Haveli and Daman and Diu,Unknown,,,,
228,Delhi,Unknown,,,,
229,Goa,Unknown,,,,
230,Gujarat,Unknown,,,,
231,Haryana,Unknown,,,,
232,Himachal Pradesh,Unknown,,,,
233,Jammu and Kashmir,Unknown,,,,
234,Jharkhand,Unknown,,,,
235,Karnataka,Unknown,,,,
236,Kerala,Unknown,,,,
237,Ladakh,Unknown,,,,
238,Lakshadweep,Unknown,,,,
239,Madhya Pradesh,Unknown,,,,
240,Maharashtra,Unknown,,,,
241,Manipur,Unknown,,,,
242,Meghalaya,Unknown,,,,
243,Mizoram,Unknown,,,,
244,Nagaland,Unknown,,,,
245,Odisha,Unknown,,,,
246,Puducherry,Unknown,,,,
247,Punjab,Unknown,,,,
248,Rajasthan,Unknown,,,,
249,Sikkim,Unknown,,,,
250,Tamil Nadu,Unknown,,,,
251,Telangana,Unknown,,,,
252,Tripura,Unknown,,,,
253,Uttar Pradesh,Unknown,,,,
254,Uttarakhand,Unknown,,,,
255,West Bengal,Unknown,,,,
