Link,State,Caste
https://censusindia.gov.in/2011census/C-series/c-13/DDW-3100C-13ST.xls,Lakshadweep UT,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2300C-13.xls,Madhya Pradesh,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2300C-13SC.xls,Madhya Pradesh,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2300C-13ST.xls,Madhya Pradesh,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2700C-13.xls,Maharashtra,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2700C-13SC.xls,Maharashtra,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2700C-13ST.xls,Maharashtra,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1400C-13.xls,Manipur,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1400C-13SC.xls,Manipur,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1400C-13ST.xls,Manipur,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1700C-13.xls,Meghalaya,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1700C-13SC.xls,Meghalaya,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1700C-13ST.xls,Meghalaya,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1500C-13.xls,Mizoram,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1500C-13SC.xls,Mizoram,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1500C-13ST.xls,Mizoram,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1300C-13.xls,Nagaland,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1300C-13ST.xls,Nagaland,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2100C-13.xls,Odisha,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2100C-13SC.xls,Odisha,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2100C-13ST.xls,Odisha,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-3400C-13.xls,Puducherry UT,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-3400C-13SC.xls,Puducherry UT,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0300C-13.xls,Punjab,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0300C-13SC.xls,Punjab,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0800C-13.xls,Rajasthan,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0800C-13SC.xls,Rajasthan,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0800C-13ST.xls,Rajasthan,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1100C-13.xls,Sikkim,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1100C-13SC.xls,Sikkim,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1100C-13ST.xls,Sikkim,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-3300C-13.xls,Tamil Nadu,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-3300C-13SC.xls,Tamil Nadu,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-3300C-13ST.xls,Tamil Nadu,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1600C-13.xls,Tripura,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1600C-13SC.xls,Tripura,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1600C-13ST.xls,Tripura,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0900C-13.xls,Uttar Pradesh,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0900C-13SC.xls,Uttar Pradesh,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0900C-13ST.xls,Uttar Pradesh,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0500C-13.xls,Uttarakhand,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0500C-13SC.xls,Uttarakhand,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0500C-13ST.xls,Uttarakhand,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1900C-13.xls,West Bengal,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1900C-13SC.xls,West Bengal,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1900C-13ST.xls,West Bengal,C-13 ST
